@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute outputs-1 {0,1,2,3,4,5}

@data
1,'2018/02/16 19:21:45:906',1,0.053956,0.08768,0.766418,0.06476,0.364966,0.12765,0.077982,0.334871,0.302585,0.294473,0.461234,0.337836,0.361267,1
2,'2018/02/16 19:21:46:077',1,0.26713,0.329932,0.788091,0.2306,0.590243,0.180438,0.092688,0.388257,0.269378,0.216144,0.324792,0.263117,0.471819,1
3,'2018/02/16 19:21:46:238',1,0.011275,0.312815,0.759083,0.188147,0.306495,0.445751,0.290819,0.423944,0.482235,0.503956,0.461564,0.262434,0.19492,1
4,'2018/02/16 19:21:46:406',1,0.726292,-0.420703,0.506585,0.21988,0.341694,0.199371,0.076572,0.150741,0.174998,0.055622,0.057461,0.391114,0.499993,1
5,'2018/02/16 19:21:46:587',1,0.763906,-0.611903,0.317122,0.111152,0.281256,0.152336,0.012218,-0.122129,0.02376,0.068863,0.16344,0.465837,0.44132,1
6,'2018/02/16 19:21:46:753',1,0.692742,-0.609873,0.317586,0.06128,0.301517,0.158308,0.042321,-0.112386,-0.011936,0.087094,0.127226,0.493532,0.401592,1
7,'2018/02/16 19:21:46:920',1,0.665556,-0.654037,0.240267,-0.024371,0.249011,0.046856,0.014895,-0.146291,-0.019585,0.06403,0.125374,0.454106,0.39355,1
8,'2018/02/16 19:21:47:101',1,0.773825,-0.549397,0.420006,0.116115,0.291175,0.187987,0.058988,-0.07683,0.044424,0.018487,0.128331,0.44687,0.363939,1
9,'2018/02/16 19:21:47:276',1,0.774007,-0.622162,0.345132,0.096082,0.300288,0.161927,0.051089,-0.082005,0.014369,0.081949,0.191774,0.484893,0.43397,1
10,'2018/02/16 19:21:47:438',1,0.975096,-0.220382,0.34608,-0.066285,0.216804,0.032763,-0.038963,0.058639,0.144381,0.163388,0.12998,0.429191,0.45304,1
11,'2018/02/16 19:21:47:608',1,0.497421,-0.425457,0.260964,0.162594,0.416606,0.250188,0.392638,0.347177,0.234281,0.265707,0.146007,0.197798,0.519843,1
12,'2018/02/16 19:21:47:772',1,0.411653,-0.333294,0.170394,0.033298,0.579025,0.244167,0.13619,0.263248,0.277448,0.310448,0.27404,0.401657,0.656454,1
13,'2018/02/16 19:21:47:964',1,0.795286,-0.592935,0.341207,0.081239,0.257405,0.074256,0.026025,-0.111517,0.028571,0.065787,0.196729,0.461344,0.377128,1
14,'2018/02/16 19:21:48:131',1,0.800055,-0.615189,0.283395,0.10537,0.202735,0.129565,0.035385,-0.128059,0.023041,0.072408,0.142879,0.511101,0.35783,1
15,'2018/02/16 19:21:48:296',1,0.669896,-0.644842,0.260552,0.056727,0.201001,0.074962,-0.025682,-0.169924,-0.021707,0.034781,0.167502,0.504545,0.408265,1
16,'2018/02/16 19:21:48:480',1,0.106691,0.117992,0.561533,-0.038631,0.3623,0.347372,0.135946,0.088213,0.395996,0.464444,0.347996,0.333759,0.524639,1
17,'2018/02/16 19:21:52:395',2,0.109552,0.18615,0.669598,0.138468,0.468572,0.317544,0.25686,0.409354,0.365458,0.418648,0.4128,0.16888,0.325088,2
18,'2018/02/16 19:21:52:564',2,0.184093,0.034004,0.742132,0.183306,0.478042,0.106409,0.114418,0.445735,0.347072,0.275381,0.293131,0.337463,0.387154,2
19,'2018/02/16 19:21:52:728',2,0.527007,0.565068,0.958706,0.262773,0.403873,0.089284,0.046252,0.297258,0.300961,0.217653,0.194639,0.255116,0.311332,2
20,'2018/02/16 19:21:52:899',2,0.462297,-0.151067,0.435701,0.30823,0.365576,0.212991,0.21951,0.110724,0.032965,0.133365,0.340297,0.508035,0.276445,2
21,'2018/02/16 19:21:53:073',2,0.393388,-0.435474,0.140803,0.100214,0.240629,0.249337,0.266394,0.217972,0.214213,0.243345,0.184731,0.366013,0.200683,2
